,Text,User,Date,Favs,Retweets,Replies
86,"In the afternoon tomorrow, 21st December, I would be taking part in an interesting programme in Prayagraj which focuses on women empowerment, particularly financial empowerment, skill development and more. https://t.co/nyLMzpztrZ",narendramodi,2021-12-20 14:46:58+00:00,16465,3517,357
87,"Spoke with my friend, President Putin, to follow up on our discussions during his recent visit to India. We agreed on the way forward for enhancing India-Russia cooperation, including in supply of fertilizers. We also discussed recent international developments. @KremlinRussia_E",narendramodi,2021-12-20 14:29:46+00:00,31387,5069,540
88,"Met the Foreign Ministers of Kazakhstan, Kyrgyz Republic, Tajikistan, Turkmenistan and Uzbekistan. We discussed ways to further strengthen India's close partnership with Central Asia, and also exchanged views on developments in the region. https://t.co/C1Y3THdumt",narendramodi,2021-12-20 13:45:15+00:00,29670,4791,473
89,Congratulations to @srikidambi for winning a historic Silver Medal. This win will inspire several sportspersons and further interest in badminton. https://t.co/rxxkBDAwkP,narendramodi,2021-12-20 06:52:25+00:00,21046,3594,389
90,Birthday greeting to Union Minister Shri RK Singh Ji. He brings with him great administrative experience and an eye for detail. He is at the forefront of delivering on India’s power sector reforms. Praying for his long and healthy life. @RajKSinghIndia,narendramodi,2021-12-20 03:24:45+00:00,20285,3044,550
91,Invigorating Goa with next-generation infrastructure and all-round development. https://t.co/U6xkBrteUs,narendramodi,2021-12-19 16:37:07+00:00,11034,2982,377
92,"Nobody can forget the exemplary role of Shri Manohar Parrikar in the progress of Goa.  He was a visionary, who worked for Goa and for the entire nation. https://t.co/XY3Ih9z5KF",narendramodi,2021-12-19 16:36:42+00:00,23053,4497,445
93,"In the last decade, Goa has scaled new heights of progress. 

The Goa Government does work with a clear aim- to ensure complete coverage when it comes to key parameters. https://t.co/CjBlFfMFKX",narendramodi,2021-12-19 16:35:37+00:00,10503,2645,245
94,"जब गोवा की आजादी के लिए संघर्ष हुआ, तो सब मिलकर एक साथ लड़े, एक साथ संघर्ष किया था। यही भारत की पहचान है।

यहां मत मतांतर का एक ही मतलब है- मानवता की सेवा। मानव मात्र की सेवा। https://t.co/X2nFV4Hkv6",narendramodi,2021-12-19 16:33:19+00:00,12067,3021,368
95,अमृत महोत्सव में देश ने हर एक देशवासी से ‘सबका प्रयास’ का आह्वान किया है। गोवा का मुक्ति संग्राम इस मंत्र का एक बड़ा उदाहरण है। https://t.co/yXxs2S1DIR,narendramodi,2021-12-19 16:33:02+00:00,10083,2581,208
96,Addressing a public meeting in Goa. https://t.co/gzba2POsrK,narendramodi,2021-12-19 10:40:40+00:00,20621,4829,675
97,"Delighted to be among my sisters and brothers of Goa, that too on the special occasion of Goa Liberation Day. 

Began my visit by paying tributes at the Martyrs’ Memorial. We will never forget the monumental contributions of the brave freedom fighters of Goa. https://t.co/mqEjDoYbWc",narendramodi,2021-12-19 10:07:15+00:00,30331,4773,468
